COD_RH;     COD_PRODUCTO;     FECHA_INI;     AÑO_INI;     MES_INI;     FECHA_FIN;     AÑO_FIN;     MES_FIN
0000228958;1;1996-01-01;1996;01;-;-;-
0000228958;2;2004-01-01;2004;01;-;-;-
0000228958;3;2009-01-01;2009;01;-;-;-
0000228958;4;2009-09-14;2009;09;2009-09-18;2009;09
0000228958;5;1994-01-01;1994;01;-;-;-
0000228958;6;2010-09-13;2010;09;2010-09-17;2010;09
0000228958;7;2012-09-02;2012;09;2012-09-07;2012;09
0000228958;8;2012-09-02;2012;09;2012-09-07;2012;09
0000228958;9;1988-01-01;1988;01;-;-;-
0000228958;10;1996-01-01;1996;01;-;-;-
0000228958;11;-;-;-;-;-;-
0000228958;12;-;-;-;-;-;-
0000228958;13;2009-11-09;2009;11;2009-11-13;2009;11
0000228958;14;2009-11-09;2009;11;2009-11-13;2009;11
0000228958;15;2010-04-12;2010;04;2010-04-16;2010;04
0000228958;16;2012-03-26;2012;03;2012-03-30;2012;03
0000228958;17;2006-09-18;2006;09;2006-09-22;2006;09
0000228958;18;2006-09-18;2006;09;2006-09-22;2006;09
0000228958;19;2006-09-18;2006;09;2006-09-22;2006;09
0000228958;20;2006-09-18;2006;09;2006-09-22;2006;09
0000228958;21;2006-09-18;2006;09;2006-09-22;2006;09
0000228958;22;2006-09-18;2006;09;2006-09-22;2006;09
0000228958;23;2006-09-18;2006;09;2006-09-22;2006;09
0000228958;24;2013-08-05;2013;08;2013-08-09;2013;08
0000228958;25;2011-08-13;2011;08;2011-08-20;2011;08
0000228958;26;2009-11-09;2009;11;2009-11-13;2009;11
0000228958;27;2009-11-09;2009;11;2009-11-13;2009;11
0000228958;28;2009-11-09;2009;11;2009-11-13;2009;11
0000228958;29;2011-10-03;2011;10;2011-10-07;2011;10
0000228958;30;2011-10-03;2011;10;2011-10-07;2011;10
0000228958;31;2013-06-16;2013;06;2013-06-21;2013;06
0000228958;32;2008-06-15;2008;06;2008-06-19;2008;06
