Departamento;     Documento;     Nombres;     Apellidos;     Observaciones;     Otros Autores;     Vinculación_Otros_Autores;     Tipo_Producto;     Nombre_Producto_Asociado;    Evento;     Año_Inicio;     Mes_Inicio;     Fecha_Inicio;     Año_Fin;     Mes_Fin;     Fecha_Fin;     País;     Ciudad;     Ambito;     Financiación;     Instituciones;     Vinculación_Instituciones;     Observaciones
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Organizador;Congreso;-;1996 Reunión mundial de la URSI en Lille, Francia (URSI 96).;1996;01;1996-01-01;-;-;-;-;Lille, Francia   - Universiad de Lille;Nacional;Sin Información;URSI;Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Organizador;Congreso;-;ICLP2004 International Conference on Lightning >Protection;2004;01;2004-01-01;-;-;-;-;Avinon   - Palais des Papes;Nacional;Sin Información;Société de l'Electricité, de l'Electronique, et des Technologies de l'Information et de la Communication (SEE) , Centre de Génie Electrique de Lyon;Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Organizador;Seminario;-;HPE High Power Electromagnetics;2009;01;2009-01-01;-;-;-;-;Chateau d'Oex   - Chateau d'Oex, Suiza;Internacional;Sin Información;SUMMA FUNDATION Education Committee;Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Ponente;Congreso;Design and Simulation of an Electromagnetic Lens for a Half Impulse Radiating Antenna;2009 International Conference on Electromagnetics in Advanced Applications ICEAA '09;2009;09;2009-09-14;2009;09;2009-09-18;-;Torino   - Torino, Italia;Internacional;Sin Información;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., Centro Congressi Torino Incontra;Patrocinador, Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Organizador;Seminario;-;1994 International Conference on Lightning Protection. 22nd ICLP. Budapest, Hungary, September 19-23.;1994;01;1994-01-01;-;-;-;-;Budapest, Hungría   - Universidad;Nacional;Sin Información;Universidad;Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Ponente;Congreso;Analysis of wavelet based denoising methods applied to measured lightning electric fields;2010 30th International Conference on Lightning Protection (ICLP);2010;09;2010-09-13;2010;09;2010-09-17;-;Cagliari   - Cagliari, Italia;Internacional;Sin Información;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., Universidad de Cagliari;Patrocinador, Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;DAVID FERNANDO ARIZA GONZALEZ, FRANCISCO JOSE ROMAN CAMPOS, FRANCISCO SANTAMARIA PIEDRAHITA, OSCAR FERNANDO ESCOBAR ALVARADO, OSCAR RICARDO MONTERO TOVAR;Ponente, Ponente, Ponente, Ponente, Ponente;Congreso;Behavior of corona current and atmospheric variables under thunderstorm conditions: Thunderstorm prediction algorithm;2012 International Conference on Lightning protection (ICLP);2012;09;2012-09-02;2012;09;2012-09-07;-;Vienna;Internacional;Sin Información;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., Vienna University of Technology;Patrocinador, Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;DAVID FERNANDO ARIZA GONZALEZ, FRANCISCO JOSE ROMAN CAMPOS, FRANCISCO SANTAMARIA PIEDRAHITA, OSCAR FERNANDO ESCOBAR ALVARADO, OSCAR RICARDO MONTERO TOVAR;Ponente, Ponente, Ponente, Ponente, Ponente;Congreso;Corona current and space charge during a thunderstorm;2012 International Conference on Lightning protection (ICLP);2012;09;2012-09-02;2012;09;2012-09-07;-;Vienna;Internacional;Sin Información;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., Vienna University of Technology;Patrocinador, Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Organizador;Seminario;-;Seminario sobre Protección Integral contra Sobretensiones Eléctricas;1988;01;1988-01-01;-;-;-;-;BOGOTÁ, D.C.   - Hotel Windsor-Plaza;Nacional;Sin Información;ASESEL- SENA-ITEC;Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Organizador;Simposio;-;1996 Radiovetenskap och Kommunikation 96 (RVK 96)"Luleå and Kiruna, Suecia;1996;01;1996-01-01;-;-;-;-;Kiruna, Lulea, Suecia   - Universidad de Lulea;Nacional;Sin Información;Universidad de Lulea;Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Asistente;Otro;-;28th International Conference on Lightning Protection ICLP 2006;,;;,;-;-;-;-;IBAGUÉ;;Sin Información;-;-;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Asistente;Otro;-;28th International Conference on Lightning Protection ICLP 2006;,;;,;-;-;-;-;Kanazawa;;Sin Información;-;-;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Ponente;Otro;STUDY OF THE BEHAVIOUR OF THE CORONA CURRENT UNDER CONTROLLED ENVIRONMENTAL CONDITIONS;X SIPDA International Symposium on Lightning Protection;2009;11;2009-11-09;2009;11;2009-11-13;-;Curitiba   - Curitiba, Brasil;Internacional;Sin Información;Universidad Nacional de Colombia - Sede Bogotá, Universidad De San Pablo Ceu;Patrocinador, Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Ponente;Otro;NOISE REDUCTION OF MEASURED LIGHTNING ELECTRIC FIELDS SIGNALS USING THE WAVELET TRANSFORM;X SIPDA International Symposium on Lightning Protection;2009;11;2009-11-09;2009;11;2009-11-13;-;Curitiba   - Curitiba, Brasil;Internacional;Sin Información;Universidad Nacional de Colombia - Sede Bogotá, Universidad De San Pablo Ceu;Patrocinador, Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Ponente;Simposio;Time-domain analysis of an electromagnetic lens for a Half Impulse Radiating Antenna;2010 Asia-Pacific Symposium on Electromagnetic Compatibility;2010;04;2010-04-12;2010;04;2010-04-16;-;Beijing, China   - Beijing, China;Internacional;Sin Información;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A.;Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS, JOHN JAIRO PANTOJA ACOSTA, NESTOR MISAEL PENA TRASLAVINA;Ponente, Ponente, Ponente;Congreso;Wideband experimental characterization of differential antennas;2012 6th European Conference on Antennas and Propagation (EUCAP);2012;03;2012-03-26;2012;03;2012-03-30;-;prague   - Prague;Internacional;Sin Información;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A.;Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Ponente;Congreso;Striking Distance of Vulnerable Points to be struck by Lightning in Complex Structures;2006 28th International Conference on Lightning Protection;2006;09;2006-09-18;2006;09;2006-09-22;-;Kanazawa   - Kanazawa, Japon;Internacional;Sin Información;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., U;Patrocinador, Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Ponente;Congreso;Comparison Between the Signatures of Lightning Electric Field Measured in Colombia and that in Sri Lanka;2006 28th International Conference on Lightning Protection;2006;09;2006-09-18;2006;09;2006-09-22;-;Kanazawa   - Kanazawa, Japon;Internacional;Sin Información;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., U;Patrocinador, Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Ponente;Congreso;Modeling of metal - oxide distribution surge arresters with an intentionally connected series gap;2006 28th International Conference on Lightning Protection;2006;09;2006-09-18;2006;09;2006-09-22;-;Kanazawa   - Kanazawa, Japon;Internacional;Sin Información;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., U;Patrocinador, Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Ponente;Congreso;Analysis of a Lightning accident Considering a Modified Human Body Model;2006 28th International Conference on Lightning Protection;2006;09;2006-09-18;2006;09;2006-09-22;-;Kanazawa   - Kanazawa, Japon;Internacional;Sin Información;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., U;Patrocinador, Patrocinador;-
