Departamento;     Documento;     Nombres;     Apellidos;     Observaciones;     Tipo_Producto;     Nombre_Producto;    ISBN/ISSN;     Tipo_Obra;     Publicado_en;     País;     Año;     Idioma;     Volumen;     Página;     Nombre_del_Capítulo;     Carácter;     Idioma_Destino;     Entidad;     Número/Código_Registro;     Observaciones_Extra
Departamento de Ingeniería de Sistemas e Industrial;123;Christian Johannes;Bruszies;-;Artículo de revista;Modelo para gestionar la innovación en las empresas;2422-3654;-;Revista Experto;-;2017;Sin Información;4;60 a 62;-;-;-;-;-;-
Departamento de Ingeniería de Sistemas e Industrial;123;Wilson;Adarme Jaimes;-;Ponencia en Eventos Especializados;LOGÍSTICA PARA LA COMPETITIVIDAD NACIONAL;-;-;I CONGRESO INTERNACIONAL INDUSTRIA Y ORGANIZACIONES - LOGÍSTICA PARA LA COMPETITIVIDAD;BOGOTÁ, D.C.   - AUDITORIO ALFONSO LÓPEZ PUMAREJO, CAMPUS UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTÁ;2014;-;-;-;-;-;-;-;-;-
Departamento de Ingeniería de Sistemas e Industrial;123;Wilson;Adarme Jaimes;-;Ponencia en Eventos Especializados;FREIGHT CONSOLIDATION: A COORDINATION MECHANISM IN SUPPLY CHAIN OF PERISHABLES;-;-;I CONGRESO INTERNACIONAL INDUSTRIA Y ORGANIZACIONES - LOGÍSTICA PARA LA COMPETITIVIDAD;BOGOTÁ, D.C.   - AUDITORIO ALFONSO LÓPEZ PUMAREJO, CAMPUS UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTÁ;2014;-;-;-;-;-;-;-;-;-
Departamento de Ingeniería de Sistemas e Industrial;123;Wilson;Adarme Jaimes;-;Otro;MODELO PARA LA OPERACIÓN ESTRATÉGICA, TÁCTICA Y OPERATIVA DE LA LOGÍSTICA DE DISTRIBUCIÓN DE MEDICAMENTOS DEL PROGRAMA DE SALUD PÚBLICA EN COLOMBIA;-;-;I CONGRESO INTERNACIONAL INDUSTRIA Y ORGANIZACIONES - LOGÍSTICA PARA LA COMPETITIVIDAD;BOGOTÁ, D.C.   - AUDITORIO ALFONSO LÓPEZ PUMAREJO, CAMPUS UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTÁ;2014;-;-;-;-;-;-;-;-;-
Departamento de Ingeniería de Sistemas e Industrial;123;Wilson;Adarme Jaimes;-;Capítulos en Memorias de Congresos;Key Risk Indicators Framework for Supply Operations - Colombian Health Care Sector;-;-;IX Hamburg International Conference of Logistics;Hamburg   - Hamburg - Deutschland;2013;-;-;-;-;-;-;-;-;-
Departamento de Ingeniería de Sistemas e Industrial;123;Wilson;Adarme Jaimes;-;Capítulos en Memorias de Congresos;Key Performance Measures for Supply Chain Management from the Columbian Shipyard;-;-;VII Hamburg International Conference of Logistics;Alemania   -  Hamburg University of Technology;2010;-;-;-;-;-;-;-;-;-
Departamento de Ingeniería de Sistemas e Industrial;123;Wilson;Adarme Jaimes;-;Capítulos en Memorias de Congresos;Integration of Analytical Techniques for Service Management Logistical coordination at the Columbian Shipbuilding Industry;-;-;VII Hamburg International Conference of Logistics;Alemania   -  Hamburg University of Technology;2010;-;-;-;-;-;-;-;-;-
Departamento de Ingeniería de Sistemas e Industrial;123;Wilson;Adarme Jaimes;-;Artículo de revista;La gestión operativa un enfoque pragmático con sentido humano;1657-8279;-;Revista Spec Seminario Problemas Económicos Colombianos;-;2002;Sin Información;1;125 a 139;-;-;-;-;-;-
Departamento de Ingeniería de Sistemas e Industrial;123;Wilson;Adarme Jaimes;-;Artículo de revista;Mejora continua en procesos limpios a través de un programa de orden y aseo;16677418;-;Revista Senderos. Universidad Nacional de Colombia Sede Palmira;-;2003;Sin Información;1;23 a 27;-;-;-;-;-;-
Departamento de Ingeniería de Sistemas e Industrial;123;Wilson;Adarme Jaimes;-;Artículo de revista;Desde los procesos, bajo un enfoque sistémico, como mejorar en ambientes turbulentos y sin traumatismos;1657-8279;-;Revista Spec Seminario Problemas Económicos Colombianos;-;2003;Sin Información;4;60 a 80;-;-;-;-;-;-
