COD_RH;     COD_RECONOCIMIENTO;     NOMBRE_RECONOCIMIENTO;     MES_RECONOCIMIENTO;     AÑO_RECONOCIMIENTO;     INSTITUCION_RECONOCIMIENTO
0000005355;1;Calificación meritoria de Tesis de Maestría;Julio;2008;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000005355;2;Calificación meritoria de la Tesis de Maestría;Febrero;2002;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000005355;3;MENCIÒN DE HONOR POR APORTE INVESTIGATIVO;;1996;ASOCIACION DE INGENIEROS CIVILES DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000005355;4;CALIFICACIÒN MERITORIA TESIS DE MAESTRÌA EN GEOTECNIA;;1996;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000005401;1;MATRÍCULA DE HONOR;;1973;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000005410;1;Premio Rafael González Rubio;;1969;CLUB ROTARIO DE BOGOTA;
0000005410;2;Research Assistantship;;1983;PURDUE UNIVERSITY IN USA;
0000005410;3;Beca para Estudios de Especialización en Estados Unidos;;1982;COMISION FULLBRIGHT BOGOTA;
0000005410;4;Premio Manuel Ponce de León;;1977;SOCIEDAD COLOMBIANA DE INGENIEROS BOGOTA;
0000005410;5;Premio Lorenzo Codazzi Mención de Honor;;2000;SOCIEDAD COLOMBIANA DE INGENIEROS;
0000005410;6;Matrícula de Honor;;1972;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000005410;7;Grado de Honor;;1976;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000005410;8;Tesis Laureada;;1976;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000005410;9;Matrícula de Honor;;1976;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000005410;10;Matrícula de Honor;;1975;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000005410;11;Matrícula de Honor;;1974;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000005410;12;Matrícula de Honor;;1973;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000005410;13;Matrícula de Honor;;1971;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000005479;1;Medalla Inocencio Chinca;Julio;2009;GOBERNACION DE ARAUCA;
0000005479;2;Orden del Congreso de La Republica de Colombia en el Grado de Caballero.;Julio;2010;SENADO DE LA REPUBLICA DE COLOMBIA;
0000005479;3;Becario del International Scholar Exchange Fellowship;Agosto;2012;KOREA FOUNDATION FOR ADVANCED STUDIES;
0000005479;4;MATRICULA DE HONOR Y EXENCION DE PAGO DE MATRICULA;;1985;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000005479;5;MATRICULA DE HONOR Y EXENCION DE PAGO DE MATRICULA;;1986;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000005479;6;MATRICULA DE HONOR Y EXENCION DE PAGO DE MATRICULA;;1988;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
