COD_RH; COD_PRODUCTO; COD_TIPO_PRODUCTO; NOMPRE_PRODUCTO; EVENTO_ASOCIADO; DATOS_COMPLEMENTARIOS; LUGAR; AÑO; AMBITO; PALABRAS_CLAVE; ÁREAS; SECTORES; COAUTORES; VINCULA_COAUTORES; EDITORIAL; VOLUMEN; PAGINAS; DOI; FINALIDAD; INSTITUCIONES_ASOCIADAS; TIPO_VINCULACION_INSTITUCION
0001545295;1;;;Evento test 2;;BELLO;2018;Nacional;;;;MANUEL FERNANDO NEIRA EMBUS;Ponente magistral;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA;Patrocinador
0001545295;2;Demás trabajos - Demás trabajos - Póster;Test;Autoevaluación;;PALMIRA   - Universidad de prueba;2018;Nacional;;;;MANUEL FERNANDO NEIRA EMBUS;Asistente , Ponente;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA;Patrocinador
0001545295;3;Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo;Test 2;Autoevaluación;;PALMIRA   - Universidad de prueba;2018;Nacional;;;;MANUEL FERNANDO NEIRA EMBUS;Asistente , Ponente;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA;Patrocinador
0001545295;4;Producción técnica - Presentación de trabajo - Comunicación;Test;Autoevaluación;;PALMIRA   - Universidad de prueba;2018;Nacional;;;;MANUEL FERNANDO NEIRA EMBUS;Asistente , Ponente;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA;Patrocinador
0000228958;1;;;1996 Reunión mundial de la URSI en Lille, Francia (URSI 96).;;Lille, Francia   - Universiad de Lille;1996;Nacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Organizador;;;;;;URSI;Patrocinador
0000228958;2;;;ICLP2004 International Conference on Lightning >Protection;;Avinon   - Palais des Papes;2004;Nacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Organizador;;;;;;Société de l'Electricité, de l'Electronique, et des Technologies de l'Information et de la Communication (SEE) , Centre de Génie Electrique de Lyon;Patrocinador
0000228958;3;;;HPE High Power Electromagnetics;;Chateau d'Oex   - Chateau d'Oex, Suiza;2009;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Organizador;;;;;;SUMMA FUNDATION Education Committee;Patrocinador
0000228958;4;Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo;Design and Simulation of an Electromagnetic Lens for a Half Impulse Radiating Antenna;2009 International Conference on Electromagnetics in Advanced Applications ICEAA '09;;Torino   - Torino, Italia;2009;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., Centro Congressi Torino Incontra;Patrocinador, Patrocinador
0000228958;5;;;1994 International Conference on Lightning Protection. 22nd ICLP. Budapest, Hungary, September 19-23.;;Budapest, Hungría   - Universidad;1994;Nacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Organizador;;;;;;Universidad;Patrocinador
0000228958;6;Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo;Analysis of wavelet based denoising methods applied to measured lightning electric fields;2010 30th International Conference on Lightning Protection (ICLP);;Cagliari   - Cagliari, Italia;2010;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., Universidad de Cagliari;Patrocinador, Patrocinador
0000228958;7;Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo;Behavior of corona current and atmospheric variables under thunderstorm conditions: Thunderstorm prediction algorithm;2012 International Conference on Lightning protection (ICLP);;Vienna;2012;Internacional;;;;DAVID FERNANDO ARIZA GONZALEZ, FRANCISCO JOSE ROMAN CAMPOS, FRANCISCO SANTAMARIA PIEDRAHITA, OSCAR FERNANDO ESCOBAR ALVARADO, OSCAR RICARDO MONTERO TOVAR;Ponente, Ponente, Ponente, Ponente, Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., Vienna University of Technology;Patrocinador, Patrocinador
0000228958;8;Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo;Corona current and space charge during a thunderstorm;2012 International Conference on Lightning protection (ICLP);;Vienna;2012;Internacional;;;;DAVID FERNANDO ARIZA GONZALEZ, FRANCISCO JOSE ROMAN CAMPOS, FRANCISCO SANTAMARIA PIEDRAHITA, OSCAR FERNANDO ESCOBAR ALVARADO, OSCAR RICARDO MONTERO TOVAR;Ponente, Ponente, Ponente, Ponente, Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., Vienna University of Technology;Patrocinador, Patrocinador
0000228958;9;;;Seminario sobre Protección Integral contra Sobretensiones Eléctricas;;BOGOTÁ, D.C.   - Hotel Windsor-Plaza;1988;Nacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Organizador;;;;;;ASESEL- SENA-ITEC;Patrocinador
0000228958;10;;;1996 Radiovetenskap och Kommunikation 96 (RVK 96)"Luleå and Kiruna, Suecia;;Kiruna, Lulea, Suecia   - Universidad de Lulea;1996;Nacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Organizador;;;;;;Universidad de Lulea;Patrocinador
0000228958;11;;;28th International Conference on Lightning Protection ICLP 2006;;IBAGUÉ;-;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;-;-
0000228958;12;;;28th International Conference on Lightning Protection ICLP 2006;;Kanazawa;-;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;-;-
0000228958;13;Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo;STUDY OF THE BEHAVIOUR OF THE CORONA CURRENT UNDER CONTROLLED ENVIRONMENTAL CONDITIONS;X SIPDA International Symposium on Lightning Protection;;Curitiba   - Curitiba, Brasil;2009;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;Universidad Nacional de Colombia - Sede Bogotá, Universidad De San Pablo Ceu;Patrocinador, Patrocinador
0000228958;14;Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo;NOISE REDUCTION OF MEASURED LIGHTNING ELECTRIC FIELDS SIGNALS USING THE WAVELET TRANSFORM;X SIPDA International Symposium on Lightning Protection;;Curitiba   - Curitiba, Brasil;2009;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;Universidad Nacional de Colombia - Sede Bogotá, Universidad De San Pablo Ceu;Patrocinador, Patrocinador
0000228958;15;Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo;Time-domain analysis of an electromagnetic lens for a Half Impulse Radiating Antenna;2010 Asia-Pacific Symposium on Electromagnetic Compatibility;;Beijing, China   - Beijing, China;2010;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A.;Patrocinador
0000228958;16;Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo;Wideband experimental characterization of differential antennas;2012 6th European Conference on Antennas and Propagation (EUCAP);;prague   - Prague;2012;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS, JOHN JAIRO PANTOJA ACOSTA, NESTOR MISAEL PENA TRASLAVINA;Ponente, Ponente, Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A.;Patrocinador
0000228958;17;Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo;Striking Distance of Vulnerable Points to be struck by Lightning in Complex Structures;2006 28th International Conference on Lightning Protection;;Kanazawa   - Kanazawa, Japon;2006;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., U;Patrocinador, Patrocinador
0000228958;18;Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo;Comparison Between the Signatures of Lightning Electric Field Measured in Colombia and that in Sri Lanka;2006 28th International Conference on Lightning Protection;;Kanazawa   - Kanazawa, Japon;2006;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., U;Patrocinador, Patrocinador
0000228958;19;Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo;Modeling of metal - oxide distribution surge arresters with an intentionally connected series gap;2006 28th International Conference on Lightning Protection;;Kanazawa   - Kanazawa, Japon;2006;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., U;Patrocinador, Patrocinador
0000228958;20;Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo;Analysis of a Lightning accident Considering a Modified Human Body Model;2006 28th International Conference on Lightning Protection;;Kanazawa   - Kanazawa, Japon;2006;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., U;Patrocinador, Patrocinador
0000228958;21;Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo;Understanding the point discharge DC current produced by corona needles;2006 28th International Conference on Lightning Protection;;Kanazawa   - Kanazawa, Japon;2006;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., U;Patrocinador, Patrocinador
0000228958;22;Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo;Improvement of the Output Current Response of an Electrostatic Fast Impulse Current Generator;2006 28th International Conference on Lightning Protection;;Kanazawa   - Kanazawa, Japon;2006;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., U;Patrocinador, Patrocinador
0000228958;23;Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo;Experimental Analysis of a Parallel Antenna Used in Lightning Electric Measurements;2006 28th International Conference on Lightning Protection;;Kanazawa   - Kanazawa, Japon;2006;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., U;Patrocinador, Patrocinador
