COD_COLCIENCIAS_APROPIACION; COD_RH; COD_PRODUCTO; FECHA_INI; AÑO_INI; MES_INI; FECHA_FIN; AÑO_FIN; MES_FIN
00001052441;0000105244;1;1998-06-10;1998;06;1998-06-12;1998;06;
00001052442;0000105244;2;1998-05-07;1998;05;1998-05-08;1998;05;
00001052443;0000105244;3;1998-09-09;1998;09;1998-09-11;1998;09;
00001052444;0000105244;4;1997-09-08;1997;09;1997-09-10;1997;09;
00001052445;0000105244;5;1997-09-08;1997;09;1997-09-10;1997;09;
00001052446;0000105244;6;1997-09-08;1997;09;1997-09-10;1997;09;
00001052447;0000105244;7;2001-08-15;2001;08;2001-08-17;2001;08;
00001052448;0000105244;8;2001-08-15;2001;08;2001-08-17;2001;08;
00001052449;0000105244;9;2001-08-15;2001;08;2001-08-17;2001;08;
000010524410;0000105244;10;2001-08-15;2001;08;2001-08-17;2001;08;
000010524411;0000105244;11;2003-08-13;2003;08;2003-08-15;2003;08;
000010524412;0000105244;12;2003-08-13;2003;08;2003-08-15;2003;08;
000010524413;0000105244;13;1997-07-30;1997;07;1997-08-01;1997;08;
000010524414;0000105244;14;1997-07-30;1997;07;1997-08-01;1997;08;
000010524415;0000105244;15;1997-07-30;1997;07;1997-08-01;1997;08;
000010524416;0000105244;16;2008-07-30;2008;07;2008-08-01;2008;08;
000010524417;0000105244;17;2008-07-30;2008;07;2008-08-01;2008;08;
000010524418;0000105244;18;2007-08-15;2007;08;2007-08-17;2007;08;
000010524419;0000105244;19;2004-09-01;2004;09;2004-09-03;2004;09;
000010524420;0000105244;20;2004-09-01;2004;09;2004-09-03;2004;09;
