COD_RH; COD_PRODUCTO; COD_TIPO_PRODUCTO; NOMPRE_PRODUCTO; COD_TIPO_EVENTO; EVENTO_ASOCIADO; DATOS_COMPLEMENTARIOS; LUGAR; AÑO; AMBITO; PALABRAS_CLAVE; ÁREAS; SECTORES; COAUTORES; VINCULA_COAUTORES; EDITORIAL; VOLUMEN; PAGINAS; DOI; FINALIDAD; INSTITUCIONES_ASOCIADAS; TIPO_VINCULACION_INSTITUCION
0000228958;1;0;;1;28th International Conference on Lightning Protection ICLP 2006;;IBAGU;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;2;0;;1;28th International Conference on Lightning Protection ICLP 2006;;Kanazawa;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;3;2;STUDY OF THE BEHAVIOUR OF THE CORONA CURRENT UNDER CONTROLLED ENVIRONMENTAL CONDITIONS;1;X SIPDA International Symposium on Lightning Protection;;Curitiba   Curitiba Brasil;2009;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA UNIVERSIDAD DE SAN PABLO CEU;Patrocinador Patrocinador;
0000228958;4;2;NOISE REDUCTION OF MEASURED LIGHTNING ELECTRIC FIELDS SIGNALS USING THE WAVELET TRANSFORM;1;X SIPDA International Symposium on Lightning Protection;;Curitiba   Curitiba Brasil;2009;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA UNIVERSIDAD DE SAN PABLO CEU;Patrocinador Patrocinador;
0000228958;5;2;Timedomain analysis of an electromagnetic lens for a Half Impulse Radiating Antenna;6;2010 AsiaPacific Symposium on Electromagnetic Compatibility;;Beijing China   Beijing China;2010;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A;Patrocinador;
0000228958;6;2;Analysis of wavelet based denoising methods applied to measured lightning electric fields;3;2010 30th International Conference on Lightning Protection ICLP;;Cagliari   Cagliari Italia;2010;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A UNIVERSIDAD DE CAGLIARI;Patrocinador Patrocinador;
0000228958;7;2;Wideband experimental characterization of differential antennas;3;2012 6th European Conference on Antennas and Propagation EUCAP;;Prague   Prague;2012;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS JOHN JAIRO PANTOJA ACOSTA NESTOR MISAEL PENA TRASLAVINA;Ponente Ponente Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A;Patrocinador;
0000228958;8;2;Striking Distance of Vulnerable Points to be struck by Lightning in Complex Structures;3;2006 28th International Conference on Lightning Protection;;Kanazawa   Kanazawa Japon;2006;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A U;Patrocinador Patrocinador;
0000228958;9;2;Comparison Between the Signatures of Lightning Electric Field Measured in Colombia and that in Sri Lanka;3;2006 28th International Conference on Lightning Protection;;Kanazawa   Kanazawa Japon;2006;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A U;Patrocinador Patrocinador;
0000228958;10;2;Modeling of metal  oxide distribution surge arresters with an intentionally connected series gap;3;2006 28th International Conference on Lightning Protection;;Kanazawa   Kanazawa Japon;2006;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A U;Patrocinador Patrocinador;
0000228958;11;2;Analysis of a Lightning accident Considering a Modified Human Body Model;3;2006 28th International Conference on Lightning Protection;;Kanazawa   Kanazawa Japon;2006;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A U;Patrocinador Patrocinador;
0000228958;12;2;Understanding the point discharge DC current produced by corona needles;3;2006 28th International Conference on Lightning Protection;;Kanazawa   Kanazawa Japon;2006;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A U;Patrocinador Patrocinador;
0000228958;13;2;Improvement of the Output Current Response of an Electrostatic Fast Impulse Current Generator;3;2006 28th International Conference on Lightning Protection;;Kanazawa   Kanazawa Japon;2006;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A U;Patrocinador Patrocinador;
0000228958;14;2;Experimental Analysis of a Parallel Antenna Used in Lightning Electric Measurements;3;2006 28th International Conference on Lightning Protection;;Kanazawa   Kanazawa Japon;2006;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A U;Patrocinador Patrocinador;
